!!SBtab TableName='Parameter' TableType='Quantity' Document='E. coli central carbon metabolism - unbalanced kinetic data' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		57262184	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.36350845	dimensionless	R02740	
equilibrium constant	PFK_R04779		1764.8694	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.1889019	dimensionless	R01070	
equilibrium constant	TIM_R01015		0.10733371	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.00035180468	dimensionless	R01061	
equilibrium constant	PGK_R01512		1883.7137	dimensionless	R01512	
equilibrium constant	PGM_R01518		0.1881272	dimensionless	R01518	
equilibrium constant	PGH_R00658		5.202263	dimensionless	R00658	
equilibrium constant	PYK_R00200		22335814	dimensionless	R00200	
equilibrium constant	PDH_R00209		1670759.7	dimensionless	R00209	
equilibrium constant	ZWF_R00835		12.916734	dimensionless	R00835	
equilibrium constant	GLH_R02035		20744.52	dimensionless	R02035	
equilibrium constant	PGD_R01528		12.330424	dimensionless	R01528	
equilibrium constant	RPI_R01056		2.264296	dimensionless	R01056	
equilibrium constant	RPE_R01529		3.9024941	dimensionless	R01529	
equilibrium constant	TXT_R01641		4.7316932	dimensionless	R01641	
equilibrium constant	TAL_R08575		1.3194676	dimensionless	R08575	
equilibrium constant	TXT_R01067		59.621212	dimensionless	R01067	
equilibrium constant	FBP_R00762		49007074	dimensionless	R00762	
equilibrium constant	CSN_R00351		5416530.1	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.034861263	dimensionless	R01325	
equilibrium constant	ACN_R01900		1.3190957	dimensionless	R01900	
equilibrium constant	ICD_R00709		100.21644	dimensionless	R00709	
equilibrium constant	KGD_R08549		92567323	dimensionless	R08549	
equilibrium constant	SCS_R00405		0.58290232	dimensionless	R00405	
equilibrium constant	SDH_R02164		6026.7589	dimensionless	R02164	
equilibrium constant	FUM_R01082		4.0148279	dimensionless	R01082	
equilibrium constant	MDH_R00342		1.940976e-05	dimensionless	R00342	
equilibrium constant	PPC_R00345		3.7190993e-07	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		NaN	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		NaN	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		NaN	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		NaN	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		1060.6602	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		172.08719	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		236.52354	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		117.66974	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		NaN	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		NaN	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		1.7083033	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		315.2047	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		NaN	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		51.87217	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		1128.6376	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		487.01987	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		NaN	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		NaN	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		NaN	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		NaN	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		69.518014	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		NaN	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		NaN	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		56.471232	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		NaN	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		95.468278	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		82.509888	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		217.26756	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		485.6488	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		NaN	1/s	R00345	
Michaelis constant	FUM_R01082	_S__Malate	0.64666009	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	0.59870169	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.030581258	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.050864382	mM	R00351	C00024
Michaelis constant	SDH_R02164	Fumarate	0.10381729	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.18043722	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.016657922	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.016657922	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.02	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.017811853	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	1	mM	R01061	C00009
Michaelis constant	FBP_R00762	Orthophosphate	NaN	mM	R00762	C00009
Michaelis constant	SCS_R00405	Orthophosphate	1.003992	mM	R00405	C00009
Michaelis constant	PPC_R00345	Orthophosphate	NaN	mM	R00345	C00009
Michaelis constant	PTS_RPTSsy	Pyruvate	NaN	mM	RPTSsy	C00022
Michaelis constant	PYK_R00200	Pyruvate	0.31	mM	R00200	C00022
Michaelis constant	PDH_R00209	Pyruvate	0.01	mM	R00209	C00022
Michaelis constant	ZWF_R00835	NADPplus	7	mM	R00835	C00006
Michaelis constant	PGD_R01528	NADPplus	0.016784756	mM	R01528	C00006
Michaelis constant	ZWF_R00835	NADPH	7	mM	R00835	C00005
Michaelis constant	PGD_R01528	NADPH	0.00066332496	mM	R01528	C00005
Michaelis constant	GAP_R01061	NADH	59	mM	R01061	C00004
Michaelis constant	PDH_R00209	NADH	NaN	mM	R00209	C00004
Michaelis constant	ICD_R00709	NADH	NaN	mM	R00709	C00004
Michaelis constant	KGD_R08549	NADH	NaN	mM	R08549	C00004
Michaelis constant	MDH_R00342	NADH	0.027138618	mM	R00342	C00004
Michaelis constant	GAP_R01061	NADplus	0.09	mM	R01061	C00003
Michaelis constant	PDH_R00209	NADplus	0.041024383	mM	R00209	C00003
Michaelis constant	ICD_R00709	NADplus	0.08	mM	R00709	C00003
Michaelis constant	KGD_R08549	NADplus	NaN	mM	R08549	C00003
Michaelis constant	MDH_R00342	NADplus	0.12812311	mM	R00342	C00003
Michaelis constant	PFK_R04779	ATP	0.12	mM	R04779	C00002
Michaelis constant	PGK_R01512	ATP	0.48	mM	R01512	C00002
Michaelis constant	PYK_R00200	ATP	0.25	mM	R00200	C00002
Michaelis constant	SCS_R00405	ATP	0.090092484	mM	R00405	C00002
Michaelis constant	ICD_R00709	_2_Oxoglutarate	NaN	mM	R00709	C00026
Michaelis constant	KGD_R08549	_2_Oxoglutarate	4	mM	R08549	C00026
Michaelis constant	CSN_R00351	Oxaloacetate	0.033920097	mM	R00351	C00036
Michaelis constant	MDH_R00342	Oxaloacetate	0.034479991	mM	R00342	C00036
Michaelis constant	PPC_R00345	Oxaloacetate	NaN	mM	R00345	C00036
Michaelis constant	SDH_R02164	Ubiquinone	0.037084298	mM	R02164	C00399
